Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Jarius Wright,WR,MIN,2,2,3,0,0,0,4,1,bye,1,1,3,3,2,1,2,0,25,1.6
Vance McDonald,TE,PIT,1,-,0,1,2,2,3,-,bye,2,-,-,-,6,-,5,2,24,2.4
Brent Celek,TE,PHI,2,0,0,1,1,0,2,2,4,bye,2,1,0,3,0,2,4,24,1.5
James O'Shaughnessy,TE,JAC,1,0,1,1,1,3,1,bye,1,0,1,2,1,1,2,6,2,24,1.5
Josh Reynolds,WR,LAR,0,1,0,0,0,0,0,bye,1,0,1,6,6,2,0,1,6,24,1.5
Samaje Perine,RB,WAS,0,1,1,0,bye,3,0,0,0,1,2,4,3,4,2,3,0,24,1.5
Andre Holmes,WR,BUF,1,4,2,1,1,bye,3,4,3,0,3,0,1,0,0,-,-,23,1.6
C.J. Fiedorowicz,TE,HOU,4,-,-,-,-,-,bye,-,-,6,2,8,3,-,-,-,-,23,4.6
Brice Butler,WR,DAL,3,2,2,2,2,bye,0,1,3,1,2,2,1,-,-,-,2,23,1.8
Troy Niklas,TE,ARI,2,1,1,0,0,2,1,bye,3,2,0,2,0,2,6,-,1,23,1.5
Tavon Austin,WR,LAR,1,3,0,2,5,0,2,bye,0,0,0,4,1,0,0,0,5,23,1.4
Rod Smith,RB,DAL,0,0,0,0,1,bye,2,0,0,6,0,2,1,5,3,3,-,23,1.5
Mike Williams,WR,LAC,-,-,-,-,-,1,2,2,bye,2,8,0,-,3,1,3,1,23,2.3
Virgil Green,TE,DEN,1,3,3,0,bye,1,2,2,0,0,4,3,1,0,1,0,1,22,1.4
Mack Hollins,WR,PHI,0,3,0,0,0,2,1,3,1,bye,1,2,1,2,1,0,5,22,1.4
