Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Dion Sims,TE,CHI,48,30,50,38,47,69,29,40,bye,0,0,20,25,49,42,46,48,581,36.3
Kendall Wright,WR,MIN,39,55,35,37,33,25,8,38,bye,46,39,42,20,47,46,32,38,580,36.3
Jordan Howard,RB,CHI,38,31,41,35,34,54,34,48,bye,29,31,23,22,44,33,45,36,578,36.1
Charles Clay,TE,BUF,65,45,52,48,13,bye,0,0,0,29,35,45,44,58,48,51,44,577,36.1
Cole Beasley,WR,DAL,52,57,25,31,37,bye,34,27,45,41,32,42,38,29,41,45,0,576,36.0
Bennie Fowler,WR,CHI,38,23,48,34,0,61,53,40,25,18,24,17,19,22,39,56,58,575,35.9
Ricardo Louis,WR,CLE,16,32,57,56,58,52,65,52,bye,60,33,45,13,4,9,9,11,572,35.8
Mark Ingram,RB,NO,26,35,29,46,bye,47,42,31,36,37,28,29,36,42,41,32,33,570,35.6
Danny Amendola,WR,MIA,32,0,32,36,55,29,38,32,0,27,35,39,32,50,37,40,55,569,35.6
Travis Benjamin,WR,LAC,39,39,44,37,46,21,22,35,bye,41,21,44,38,33,36,31,39,566,35.4
Duke Johnson,RB,CLE,50,37,40,36,40,30,36,22,bye,48,27,38,34,25,43,29,30,565,35.3
Leonard Fournette,RB,JAC,39,40,37,39,39,41,0,bye,0,45,52,28,52,50,0,50,52,564,35.3
Garrett Celek,TE,SF,14,16,36,21,32,30,18,26,55,56,bye,48,52,61,46,17,34,562,35.1
Jonnu Smith,TE,TEN,24,37,48,22,36,43,49,bye,30,47,38,34,35,29,17,26,41,556,34.8
Frank Gore,RB,MIA,19,32,41,35,39,23,22,36,40,34,0,41,22,54,28,46,43,555,34.7
Eric Ebron,TE,IND,51,40,45,31,34,41,0,34,35,34,28,29,29,42,27,28,24,552,34.5
Devonta Freeman,RB,ATL,36,38,41,49,bye,42,41,40,41,2,0,0,39,51,51,43,38,552,34.5
Darren Fells,TE,CLE,32,41,29,51,35,46,0,45,43,27,30,27,31,30,24,28,31,550,34.4
Nick O'Leary,TE,BUF,43,20,34,32,59,bye,54,54,58,19,34,30,0,32,27,22,31,549,34.3
Taylor Gabriel,WR,CHI,31,27,36,60,0,48,35,31,38,27,34,42,27,31,32,32,9,540,33.8
J.J. Nelson,WR,ARI,30,50,52,25,32,12,28,bye,27,29,29,40,50,40,59,10,26,539,33.7
Albert Wilson,WR,MIA,40,34,27,43,32,0,33,16,0,0,0,46,42,66,62,69,28,538,33.6
Rhett Ellison,TE,NYG,19,22,20,31,50,35,28,bye,40,26,46,28,32,39,26,41,55,538,33.6
Allen Hurns,WR,DAL,51,59,44,60,39,56,50,0,71,60,0,0,0,0,0,0,47,537,33.6
Isaiah Crowell,RB,NYJ,52,32,41,22,36,32,39,33,0,36,24,32,32,36,22,31,36,536,33.5
Virgil Green,TE,LAC,45,46,37,42,0,35,28,31,21,30,41,30,21,44,36,26,21,534,33.4
Seth DeValve,TE,CLE,31,31,43,33,36,36,37,32,bye,42,33,24,36,25,29,28,35,531,33.2
Will Fuller,WR,HOU,0,0,0,67,59,54,bye,63,71,33,0,0,0,67,58,53,5,530,33.1
Jerick McKinnon,RB,SF,11,23,14,10,47,44,35,54,0,31,45,33,35,42,35,25,44,528,33.0
Corey Davis,WR,TEN,42,23,0,0,0,0,0,bye,39,78,54,42,43,45,54,54,42,516,32.3
Jay Ajayi,RB,PHI,0,64,33,32,46,48,51,46,17,bye,13,22,31,43,35,28,0,509,33.9
Laquon Treadwell,WR,MIN,36,51,31,25,42,44,55,31,bye,24,16,21,20,32,24,27,23,502,31.4
David Njoku,TE,CLE,29,34,30,33,35,26,28,24,bye,46,21,41,34,34,32,30,24,501,31.3
Trent Taylor,WR,SF,24,21,39,47,35,44,46,39,15,0,bye,47,31,31,34,25,15,493,30.8
John Brown,WR,BAL,63,0,0,53,48,47,42,0,46,68,41,0,0,0,0,41,42,491,30.7
Demetrius Harris,TE,KC,26,24,22,40,55,18,31,41,20,bye,19,16,19,28,28,38,62,487,30.4
Giovani Bernard,RB,CIN,29,33,13,21,22,bye,23,14,11,20,20,15,44,46,49,72,54,486,30.4
Russell Shepard,WR,NYG,20,34,38,35,38,52,37,30,38,44,0,30,32,23,23,0,8,482,30.1
Kenny Golladay,WR,DET,44,34,45,0,0,0,bye,0,0,11,35,40,48,58,50,61,51,477,29.8
Kenyan Drake,RB,MIA,bye,1,20,9,2,1,0,12,37,25,38,39,53,66,72,54,48,477,29.8
Dwayne Allen,TE,NE,27,46,17,9,50,6,20,20,bye,20,25,38,37,56,26,44,36,477,29.8
Theo Riddick,RB,DET,21,27,34,18,30,35,bye,30,25,17,30,26,40,48,33,40,18,472,29.5
Lance Kendricks,TE,GB,21,13,19,18,18,6,14,bye,29,46,38,29,30,49,22,58,58,468,29.3
Javorius Allen,RB,BAL,33,42,34,40,47,47,41,31,35,bye,10,15,13,13,26,15,23,465,29.1
Deshaun Watson,QB,HOU,48,66,71,78,64,66,bye,71,0,0,0,0,0,0,0,0,0,464,42.2
Alvin Kamara,RB,NO,31,17,17,26,bye,30,37,31,25,29,46,32,37,6,32,37,31,464,29.0
Marshawn Lynch,RB,OAK,32,23,16,23,27,30,10,0,37,bye,21,47,32,28,51,44,41,462,28.9
Corey Coleman,WR,BUF,53,38,0,0,0,0,0,0,0,0,51,63,51,39,51,52,52,450,28.1
Chris Godwin,WR,TB,bye,29,11,9,17,14,22,14,18,69,22,19,17,40,34,56,58,449,28.1
Chester Rogers,WR,IND,0,0,0,0,0,6,34,26,15,42,bye,40,54,66,53,58,51,445,27.8
Jamaal Williams,RB,GB,6,11,5,12,2,0,0,bye,9,35,59,45,48,50,43,62,56,443,27.7
Stephen Anderson,TE,HOU,57,0,31,11,16,22,bye,11,40,35,13,7,68,48,34,26,22,441,27.6
Josh Bellamy,WR,CHI,33,59,19,36,7,2,3,2,bye,40,25,0,30,48,53,41,40,438,27.4
Aldrick Robinson,WR,SF,10,12,27,73,22,15,30,30,62,31,bye,22,18,26,4,17,39,438,27.4
Pierre Garcon,WR,SF,50,39,69,74,63,60,46,32,0,0,bye,0,0,0,0,0,0,433,39.4
Cordarrelle Patterson,WR,NE,22,27,26,33,19,17,18,57,6,0,25,37,34,27,45,13,25,431,26.9
Braxton Miller,WR,HOU,63,63,37,0,0,7,bye,3,0,20,61,54,30,0,0,34,55,427,26.7
Tevin Coleman,RB,ATL,24,23,28,27,bye,18,19,29,19,44,42,44,20,24,0,23,41,425,26.6
Levine Toilolo,TE,DET,29,28,35,29,0,15,19,31,28,30,31,29,25,43,40,13,0,425,26.6
Tom Savage,QB,NO,31,0,0,6,0,0,0,0,71,68,70,69,81,25,0,0,0,421,30.1
Latavius Murray,RB,MIN,3,6,8,19,22,33,31,31,bye,30,33,40,30,32,32,40,31,421,26.3
Michael Hoomanawanui,TE,NO,18,22,28,43,bye,41,43,24,38,47,24,26,31,25,9,0,0,419,26.2
Aaron Rodgers,QB,GB,82,76,70,52,60,8,0,bye,0,0,0,0,0,0,70,0,0,418,34.8
Ben Koyack,TE,JAC,27,19,35,27,25,19,29,bye,37,29,44,15,30,16,35,25,6,418,26.1
Eric Tomlinson,TE,NYJ,13,0,0,29,20,35,34,27,45,20,bye,28,43,17,30,38,32,411,25.7
Derrick Henry,RB,TEN,18,30,30,18,11,40,30,bye,19,28,16,32,24,13,16,23,63,411,25.7
Jonathan Stewart,RB,NYG,29,25,26,28,40,27,28,28,21,25,0,27,22,26,30,25,0,407,25.4
Dion Lewis,RB,TEN,6,14,12,14,18,29,26,30,0,21,26,28,26,18,33,51,52,404,25.3
Bilal Powell,RB,NYJ,30,18,28,46,17,0,21,29,15,33,bye,23,37,23,24,27,30,401,25.1
TJ Jones,WR,DET,19,15,15,46,40,58,bye,52,50,29,29,15,9,10,13,0,0,400,28.6
Kyle Juszczyk,RB,SF,19,17,26,24,35,0,0,20,17,38,bye,16,40,36,32,39,39,398,24.9
David Morgan,TE,MIN,18,7,30,18,12,16,17,36,bye,27,40,33,1,0,50,43,47,395,24.7
Tavarres King,WR,MIN,0,0,0,0,0,46,59,0,35,53,65,55,37,0,43,0,0,393,32.8
Kenny Britt,WR,NE,52,42,52,46,0,0,55,0,bye,55,20,18,12,0,2,9,29,392,26.1
C.J. Beathard,QB,SF,0,0,0,1,0,54,66,66,74,61,bye,68,0,0,0,0,0,390,24.4
Breshad Perriman,WR,BAL,42,42,35,49,38,20,0,49,35,bye,0,16,0,0,31,30,0,387,24.2
Dede Westbrook,WR,JAC,0,0,0,0,0,0,0,bye,0,0,35,45,54,50,57,87,58,386,24.1
Eli Rogers,WR,PIT,39,37,21,0,0,13,11,19,bye,18,26,55,17,52,25,27,26,386,24.1
Joe Mixon,RB,CIN,22,16,34,31,36,bye,22,35,28,31,35,46,17,0,0,7,25,385,24.1
James White,RB,NE,43,30,32,43,35,29,23,20,bye,11,17,18,28,35,20,0,0,384,24.0
Brian Hoyer,QB,NE,57,49,82,83,72,18,0,0,bye,9,3,0,2,0,0,4,5,384,24.0
Charles Sims,RB,TB,bye,21,26,22,32,27,24,19,18,22,23,26,19,20,28,24,32,383,23.9
Justin Hardy,WR,ATL,15,19,15,58,bye,42,9,9,20,21,17,25,11,22,21,21,58,383,23.9
Alex Collins,RB,BAL,0,8,10,17,16,22,16,32,28,bye,38,31,33,29,30,39,29,378,25.2
Ameer Abdullah,RB,DET,36,28,29,33,22,37,bye,32,33,31,29,29,0,0,8,11,20,378,23.6
Terrelle Pryor,WR,NYJ,53,52,57,43,0,61,30,19,35,28,0,0,0,0,0,0,0,378,34.4
Phillip Dorsett,WR,NE,18,32,7,9,20,11,8,8,bye,49,28,43,48,0,25,26,45,377,23.6
Luke Willson,TE,DET,17,37,25,22,26,0,30,19,24,24,33,5,20,20,19,27,29,377,23.6
Cody Latimer,WR,NYG,12,14,11,0,0,0,0,37,48,47,48,36,48,31,44,0,0,376,23.5
Chris Moore,WR,BAL,0,0,7,0,0,34,58,17,30,bye,33,23,32,24,43,44,30,375,23.4
Greg Olsen,TE,CAR,67,25,0,0,0,0,0,0,0,0,bye,24,0,59,73,62,57,367,22.9
Tarik Cohen,RB,CHI,28,40,28,18,17,26,7,18,bye,13,31,19,16,37,25,18,19,360,22.5
Samaje Perine,RB,WAS,0,26,30,12,bye,25,0,0,6,20,48,50,34,40,33,34,2,360,22.5
Jimmy Garoppolo,QB,SF,0,0,0,0,0,0,0,0,0,0,bye,3,75,73,70,68,64,353,22.1
LeGarrette Blount,RB,DET,23,6,22,26,26,30,25,35,16,0,30,37,14,15,17,12,19,353,22.1
Brock Osweiler,QB,MIA,0,0,0,0,0,7,0,0,64,63,81,0,0,0,61,74,0,350,21.9
Ryan Griffin,TE,HOU,10,0,61,81,52,58,bye,65,22,0,0,0,0,0,0,0,0,349,31.7
James Develin,RB,NE,19,24,15,16,13,25,24,29,bye,45,21,19,17,11,18,19,31,346,21.6
Blaine Gabbert,QB,TEN,0,0,0,0,0,0,0,bye,0,0,58,73,64,65,85,0,0,345,21.6
Geronimo Allison,WR,GB,0,61,47,16,13,7,5,bye,17,12,8,8,9,19,46,53,22,343,21.4
Chad Hansen,WR,NYJ,12,2,0,1,2,11,6,9,32,48,bye,28,48,35,35,26,47,342,21.4
Lee Smith,TE,OAK,29,26,12,13,12,13,17,19,30,bye,10,28,26,8,29,44,25,341,21.3
Andre Holmes,WR,BUF,39,34,22,27,31,bye,27,21,35,9,39,14,13,15,14,0,0,340,22.7
Chris Thompson,RB,WAS,30,29,28,26,bye,45,37,47,33,45,18,0,0,0,0,0,0,338,30.7
A.J. Derby,TE,MIA,29,29,29,29,0,52,32,38,33,14,0,0,0,0,0,29,23,337,22.5
Wayne Gallman,RB,NYG,0,0,0,31,27,15,22,bye,17,10,16,22,14,37,36,52,26,325,20.3
