Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
Lavon Coleman (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Roc Thomas (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Nyheim Hines (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7%
Bo Scarbrough (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
Justin Jackson (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
John Kelly (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3%
Mark Walton (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
Rashaad Penny (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0%
Sony Michel (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2%
Dimitri Flowers (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ralph Webb (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Quinton Flowers (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Martez Carter (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Chase Edmonds (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%
Jordan Wilkins (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4%
Phillip Lindsay (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
Darrel Williams (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jarvion Franklin (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Trenton Cannon (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
David Williams (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Nick Bawden (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Boston Scott (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
Gregory Howell (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ray Lawry (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Gus Edwards (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
