Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
James Wright (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Terrell Sinkfield (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Seantavius Jones (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
C.J. Goodwin (CIN),0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
Rashad Greene (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tony Lippett (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dres Anderson (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Jake Kumerow (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
DeAndre Carter (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Darren Waller (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Lucky Whitehead (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Geremy Davis (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
DeAndre Smelter (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Bradley Marquez (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Rasheed Bailey (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cameron Meredith (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8%
Shane Wynn (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Darius Jennings (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tajae Sharpe (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Tyler Ervin (HOU),8,11,38,4.8,7,0,0,4,12,0,0,4,0.0,0.0,0.1%
Seth DeValve (CLE),33,58,395,12.0,49,7,1,0,0,0,1,16,0.0,0.0,0.6%
Rashawn Scott (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
D.J. Foster (ARI),17,28,133,7.8,20,1,0,6,19,0,0,7,0.0,0.0,0.1%
Devin Lucien (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Cody Core (CIN),0,4,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
Alonzo Russell (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Keenan Reynolds (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Demarcus Ayers (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Mekale McKay (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jamaal Jones (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Byron Marshall (WAS),6,8,36,6.0,12,0,0,9,32,0,0,4,0.0,0.0,0.1%
Cayleb Jones (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Daniel Braverman (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Moritz Bohringer (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Devon Cajuste (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Aaron Burbridge (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Nelson Spruce (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tevaun Smith (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Malachi Jones (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Shippen (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Marcus Tucker (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tevin Jones (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Mose Frazier (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
K.J. Brent (IND),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Ed Eagan (FA),0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1%
Andy Jones (DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Paul Turner (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jace Billingsley (DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
J.D. McKissic (SEA),34,46,266,7.8,27,3,2,46,187,1,0,12,0.0,0.0,0.6%
Jake Lampman (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Marquis Bundy (NYG),0,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Kendal Thompson (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Carlos Henderson (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Isaiah Ford (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Travin Dural (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Malachi Dupre (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
KD Cannon (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Artavis Scott (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Keon Hatcher (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Robert Davis (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Krishawn Hogan (IND),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
